0,0,0,0,0,0,0,0,0,0,0
0.1,0.0767719,0.0561657,0.0402579,0.0303292,0.0269683,0.0303292,0.0402579,0.0561657,0.0767719,0.1
0.2,0.154385,0.113919,0.082679,0.0631807,0.0565805,0.0631807,0.082679,0.113919,0.154385,0.2
0.3,0.233985,0.175421,0.130209,0.10199,0.0924374,0.10199,0.130209,0.175421,0.233985,0.3
0.4,0.317263,0.243863,0.187197,0.151828,0.139855,0.151828,0.187197,0.243863,0.317263,0.4
0.5,0.406517,0.323583,0.259556,0.219591,0.206062,0.219591,0.259556,0.323583,0.406517,0.5
0.6,0.504377,0.419543,0.354048,0.313166,0.299326,0.313166,0.354048,0.419543,0.504377,0.6
0.7,0.613076,0.535959,0.47642,0.439255,0.426674,0.439255,0.47642,0.535959,0.613076,0.7
0.8,0.733403,0.674319,0.628701,0.600225,0.590586,0.600225,0.628701,0.674319,0.733403,0.8
0.9,0.863767,0.831622,0.806803,0.79131,0.786066,0.79131,0.806803,0.831622,0.863767,0.9
1,1,1,1,1,1,1,1,1,1,1
